H_RATIO_3A_PCT_CHG,HSN1F_3A_PCT_CHG,PERMIT_3A_PCT_CHG,STOCK_MKT_3A_PCT_CHG,BAA_YEILD_10Y_2A_PCT_CHG,US10Y_3A_PCT_CHG,RPCE_A_PCT_CHG,UEMP_3A_PCT_CHG,RGDP_M_PCT_CHG,YEAR,MONTH
-0.089285714,0.511002445,0.176248822,1.275527058,-0.168,-0.110294118,-0.879478827,-0.271355873,0.222222222,2017,2
0.947368421,-0.285253828,-0.31627907,-5.385943029,-0.1363636365,-0.006355932,-2.014084506,-0.189234731,0.254545455,2007,4
-0.073529412,0.156498674,0.457240593,0.036729309,0.10000000049999999,0.287356322,-1.9528795799999998,0.047465385,0.227272727,1969,7
1.326530612,-0.686037127,-0.704716981,-6.701350857,3.6325301205,-0.210290828,-2.827272726,0.485503719,-0.158730159,2008,11
-0.1,-0.214669052,-0.244462025,2.120074049,1.7749999994999999,0.073286052,10.5,-0.27387678,-0.459459459,1967,3
-0.056603774,-0.079338843,-0.041925466,-0.877975855,-0.41129032200000004,0.226700252,-1.2200000009999998,-0.295362458,-0.402777778,1966,3
-0.111111111,0.227602906,0.092843327,3.475122585,0.45294117599999995,-0.280405405,-1.21192053,0.427440366,-0.222222222,2002,8
-0.145833333,-0.53634895,-0.512619669,4.791464166,-0.7113144765,-0.326829268,3.2920353989999995,0.846949266,-0.5,2010,11
-0.276315789,0.201892744,0.706927176,-2.262573737,-0.27811550100000004,0.033962264,1.678321677,-0.228721233,0.184103261,2013,8
0.025641026,0.059588299,0.008225617,-1.431744401,0.3466386555,-0.125423729,2.780487804,0.36316794,-0.083333333,2002,5
-0.097222222,0.17877095,0.701550388,0.036729309,0.095454546,0.291505792,-1.0901856749999999,0.042864624,-0.567901235,1969,8
0.170212766,-0.086294416,0.037433155,-3.199388053,-0.42000000000000004,0.024509804,-0.34883721,-0.207030921,-0.164383562,1962,2
0.132075472,0.100763359,0.217206133,0.649091155,-0.0100000005,0.189328744,-0.51081081,-0.212648782,-0.186046512,1996,6
0.095238095,0.023255814,0.709066306,2.718235975,-0.21634615350000003,0.429141717,1.666666668,0.038015436,-1.314285714,1969,9
-0.021276596,0.040609137,0.021259199,-0.867555017,-0.25657894800000003,0.067839196,4.862385321,-0.206608819,0.010869565,1965,8
0.239130435,0.214285714,0.267175573,-1.406315854,0.343984962,0.254545455,-1.395348837,-0.371888588,-0.333333333,2015,10
-0.063829787,0.030456853,0.053685897,-0.336168269,-0.590909091,0.206266319,-0.42391304399999996,-0.385703313,0.020618557,1965,12
-0.4125,0.512720157,0.332514333,-0.938899244,-0.3525896415,-0.058870326,0.3225,0.048713362,-0.019762846,1983,12
0.170212766,-0.086294416,0.037433155,-3.199388053,-0.42000000000000004,0.024509804,3.996428571,-0.207030921,0.438848921,1963,12
0.170212766,-0.086294416,0.037433155,-3.199388053,-0.42000000000000004,0.024509804,-0.879310344,-0.207030921,-0.3125,1963,9
0.771428571,-0.089689858,0.016,-0.789838312,-0.30000000000000004,0.534534535,-1.452784503,-0.23447039,-0.111111111,2006,5
-0.149253731,0.405405405,0.61352657,-1.439358284,-0.5119760474999999,-0.133333333,5.38125,-0.321906277,-0.013245033,2014,6
-0.445652174,0.360341151,0.818815331,-5.626357244,0.8432432430000001,0.021611002,11.823529413,0.371037326,0.165289256,1983,4
-0.080645161,0.911564626,0.976490344,4.313194326,-0.566929134,-0.092436975,1.597156398,0.321888505,0.176136364,1972,10
-0.417475728,0.988009592,1.037974684,-0.494328406,-0.697265625,0.020188425,-0.042253521,-0.205708089,0.0,1977,11
0.170212766,-0.086294416,0.037433155,-3.199388053,-0.42000000000000004,0.024509804,-0.34883721,-0.207030921,-0.246666667,1962,8
0.280701754,-0.340450771,-0.548003398,-1.307053658,0.518518518,0.300925926,-5.563157895,0.611532624,-0.076923077,1975,9
-0.185185185,-0.115120275,-0.098774885,0.257116631,1.119047619,0.23150358,-1.297297296,-0.169347605,0.461538462,1967,7
0.98245614,-0.612385321,-0.524424481,0.012047037,0.6818181825,0.773148148,-3.638181819,0.387930369,-1.672727273,1981,9
0.170212766,-0.086294416,0.037433155,-3.199388053,-0.42000000000000004,0.024509804,1.054054053,-0.207030921,0.197368421,1963,7
1.113207547,-0.678875639,-0.74954792,-5.735897697,4.205696202,-0.452488688,1.990909092,0.601166379,-0.188679245,2008,12
0.0,-0.223922114,-0.276261937,-0.816484127,0.38150289000000004,-0.220022002,-13.14,0.352414344,0.454545455,1991,12
-0.102040816,0.570621469,0.405707196,-0.874239712,-0.186851211,-0.087557604,0.0,-0.311099857,0.065448604,2015,2
-0.397959184,0.879464286,1.031553398,-0.911128618,-0.6169354845,-0.070886076,0.056603775,0.044594034,-0.5,1977,9
0.132075472,0.17571885,0.315647482,3.080878545,0.2500000005,0.07781457,0.636363636,-0.220436113,0.228915663,1996,4
0.3,-0.219047619,-0.221736415,-1.772859425,-0.385321101,0.071072319,0.04736842200000001,-0.124536521,-0.281553398,1990,3
0.0,0.178137652,0.498727735,-4.61187488,1.69921875,0.155515371,2.88,0.530419403,-0.193883713,1970,12
-0.205128205,-0.498812352,-0.573342264,-1.146489174,-0.31967213099999997,-0.189473684,-2.162593986,1.113971557,0.247191011,2010,4
0.05,0.369822485,0.299705015,-1.321050298,-0.462890625,-0.018779343,-0.38255033699999996,-0.117146151,0.186813187,2005,7
0.268292683,0.187234043,0.266737513,0.83171979,0.45681818250000006,-0.213043478,0.09771986999999999,-0.344229086,-0.057971014,2016,5
0.259259259,-0.361016949,-0.379334749,-2.443951688,-0.024193548000000002,0.279411765,-1.9042448159999998,-0.315708944,-0.009803922,1966,8
0.309090909,0.089285714,0.005564388,3.742159447,-0.37937743199999996,0.39380531,0.032490975,-0.278949722,-0.093023256,2018,10
1.095238095,-0.135951662,-0.1747851,-2.258047387,-0.468292683,0.23670669,-0.44999999999999996,-0.098232642,-0.75862069,1974,3
-0.068181818,0.187871581,0.100187852,-1.894229228,0.10750853249999999,-0.3639399,2.285714286,0.589885254,0.164556962,2003,3
-0.017241379,-0.274021352,-0.309215537,0.757977206,1.631578947,0.097156398,0.8202247200000001,-0.289074547,-0.314814815,1967,2
0.046153846,-0.251778094,-0.342618384,0.313114113,0.02616279,-0.120267261,-5.591836734,0.291079405,-0.1,1991,8
0.06122449,0.274774775,0.225744476,-0.354703586,0.18200836799999998,-0.377862595,0.430434783,-0.302120721,-0.017857143,2016,9
0.092307692,-0.044843049,-0.215522388,9.609491649,-0.2714285715,0.102288022,-1.369565217,-0.21560581,-0.323529412,1989,9
